,user_a,user_b
2811,Máy 10 triệu sao lại tầm thấp.,"Máy 10 triểu cao lắm chi được CPU 4 nhân, GPU tầm AMD rx470 hoặc Nvidia GTX1050."
2812,Máy 15 triệu.,Máy 15 triệu có thể mua được best selling trên amazon rồi.
2813,Máy best selling đó ra sao?,"CPU 6 nhân, GPU RX580 hoặc GTX1660, RAM 16GB."
2814,Tao có nên mua SSD thay vì HDD không?,"Tùy, SSD làm ổ boot máy, chơi game với làm việc rất trơn chu."
2815,Mua SSD sao là tốt?,"Mua SSD Sata3 truyền thống thôi, M.2 PCI-e chỉ khi mày cần truy xuất,di chuyển dữ liệu nhanh nhất hoặc muốn đốt tiền."
2816,điện thoại nào ttots nhất?,iPhone
2817,mua hàng online ở đâu uy tín?,trên Shopee
2818,quần áo mua ở đâu rẻ nhất?,trên Shopee
2819,mua điện thoại Android hay iOS?,mua Android
2820,mua quần áo ở đâu?,Uniqlo
2821,Giá?,120k
2822,Còn không?,Còn
2823,Phí ship?,"Nội địa 15k, Tỉnh lẻ 35k"
2824,Giao dịch như nào?,Chuyển khoản
2825,Nguồn sản xuất?,Trung Quốc
2826,mua điện thoại Nokia không?,không
2827,mua iPhone không?,mua
2828,mua mã nào?,11 Pro
2829,màu nào?,đen
2830,bộ nhớ?,512 GB
2831,thanh toán sao?,Trả góp
2832,mua điện thoại SamSung không?,không
2833,mua iPhone không?,mua
2834,mua mã nào?,12 Promax
2835,màu nào?,xanh đen
2836,bộ nhớ?,512 GB
2837,thanh toán sao?,Trả góp
2838,ngân hàng nào?,Vietcombank
2839,mua gì nữa không?,không
2840,xin chào,bạn muốn mua gì
2841,quần,dài hay ngắn
2842,ngắn,lên tầng 1 đi
2843,ok,chúc ngày mới vui vể
2844,Tớ muốn mua điện thoại mới ?,Iphone 12 PROMAX đi
2845,Cấu hình như thế nào ?,Cực mạnh
2846,Giá bao nhiêu ?,35 triệu
2847,Tơ muốn mua quần áo Tết ?,Mua áo dài đi
2848,Áo dài cách tân hay truyền thống ?,Cách Tân
2849,Giá bao nhiêu ?,500.000 đ
2850,Mặc áo vầy được không?,Ổn đấy
2851,Thấy giày nào được?,Adidas được đó.
2852,Mày xài được thoại nào đấy?,Xiaomi.
2853,Xiaomi ngon không?,Cũng tạm ổn.
2854,Thích mặc áo sơ-mi à?,Ừm. Không thích áo thun.
2855,Thích mặc jean không?,"Ừm, thích."
2856,Quần tây không?,Không thích.
2857,Muốn mua điện thoại gì?,Iphone 12
2858,Bao nhiêu GB?,128gb
2859,Mua ở đâu?,Thế giới di động
2860,Chi nhánh nào?,Quận 1
2861,Thanh toán bằng gì?,Tiền mặt
2862,Điện thoại này còn không?,còn
2863,Áo Adidas còn size XL không ?,hết rồi
2864,bảo hành bao lâu ?,12 tháng
2865,Tiền ship bao nhiêu ?,Free ship
2866,Bao lâu thì giao tới?,2-3
2867,Tớ muốn mua điện thoại mới ?,Iphone 12 PROMAX đi
2868,Cấu hình như thế nào ?,Cực mạnh
2869,Giá bao nhiêu ?,35 triệu
2870,Tơ muốn mua quần áo Tết ?,Mua áo dài đi
2871,Giá bao nhiêu ?,500.000 đ
2872,mày mới mua điện thoại hả?,ừa
2873,mày đang xài điện thoại hiệu gì?,oppo
2874,máy đó xài ngon không?,ok
2875,mua điện thoại ở đâu vậy?,Nguyễn Kim
2876,thấy điện thoại chụp hình đẹp không?,đẹp
2877,Bạn định mua điện thoại mới à?,Đúng vậy
2878,Gu thời trang của bạn là gì?,Kiểu đường phố
2879,Áo bạn đắt không?,Không
2880,Điện thoại gì đẹp vậy,iphone 12
2881,Áo bạn mua ở đâu vậy?,Cửa hàng LEVIS gần trung tâm Quận 1
2882,mua điện thoại Nokia không?,không
2883,mua iPhone không?,mua
2884,mua mã nào?,11 Pro
2885,màu nào?,đen
2886,bộ nhớ?,512 GB
2887,thanh toán sao?,Trả góp
2888,Mày mua laptop ở đâu?,Ở phong vũ
2889,Bao tiền thế?,21 triệu
2890,Xài được không?,Cũng được
2891,Mày mua lâu chưa?,Được 1 tháng
2892,có trả góp không?,có
2893,mày có sạc dự phòng không?,có
2894,giá bao nhiêu?,tuỳ vào dung lượng
2895,áo này có size nhỏ hơn không?,có
2896,quần này có màu xám không?,hết hàng rồi
2897,lấy cho cái Iphone 12?,đợi chút
2898,Shop! Tôi mún mua cái áo này?,"Dạ, xin chào"
2899,Có size XL hum?,"Dạ, có"
2900,Này vải gì thế?,"Dạ, cotton"
2901,Còn mẫu khác hong?,"Dạ, nhiều ạ"
2902,Áo này về giặt sao?,Lần đầu anh nên giặt tay
2903,Áo có bảo hành gì hong?,Vấn đề này có ạ
2904,Có khuyến mãi gì nè shop?,Hiện tại bên em mua 1 tặng 1 ạ
2905,Okay vậy lấy 2 áo nha,"Dạ, 2 áo XL nha anh"
2906,Đúng rồi,Dạ
2907,Áo này giá nhiêu shop,700k
2908,Quần này giá nhiêu shop?,1500k
2909,Áo này có size XL không?,Có
2910,Quần này có size 32 không?,Có
2911,Laptop này sài thế nào?,Mở nguồn lên sài
2912,"Chào shop ạ, em muốn mua Samsung Galaxy S20 ạ, shop còn hàng không ạ ?","Chào bạn, hiện tại, shop vẫn còn Samsung Galaxy S20 với các màu xanh, hồng và đen"
2913,Samsung Galaxy S20 màu xanh bao nhiêu ạ ?,13 triệu nha bạn
2914,Shop đang có chương trình khuyến mãi đúng không ạ ?,Đúng rồi bạn
2915,"Shop lấy thêm cho em một ốp lưng cho Samsung Galaxy S20 và một cục sạc dự phòng, tổng hóa đơn của em bao nhiêu ạ ?","Tổng hóa đơn là 13,2 triệu. Tổng tiền cho ốp lưng và sạc dự phòng là 400k, áp dụng khuyến mãi còn 200k"
2916,Shop chốt đơn giúp em ?,"Đơn hàng của bạn là 13,2 triệu gồm 1 Samsung Galaxy S20, 1 ốp lưng, 1 cục sạc dự phòng"
2917,Tao muốn mua áo sơ mi thì nên mua kiểu gì?,"Ốm thì mua áo tay dài, mập thì mua áo tay ngắn"
2918,Vậy mua áo ở đâu?,"A&G, Mr.Simple, Routine,..."
2919,Tao muốn mua quần jean?,jean tao không biết :))
2920,Chuột nào rẻ mà tốt mày?,Thử G102
2921,Mua online chỗ nào an toàn vậy mày?,Tiki
2922,Mua đồ chỗ nào rẻ mày?,Tao hong biết
2923,Điện thoại mày mau ở đâu vậy?,Thế giới di dộng
2924,Có chỗ nào bán đồ rẻ không mày?,Lên mấy shop online coi thử
2925,theo mầy hãng nào ok?,để tao kím cho vài dòng
2926,thích iphone không?,tiền đâu mua. cho tiền tao mua đi
2927,chơi game ổn k mày?,trâu bò lắm luôn
2928,"ra thế giới di động mua đi, tao đi với?","ok, mai 9h đi"
2929,Tớ muốn mua điện thoại mới ?,Iphone 12 PROMAX đi
2930,Cấu hình như thế nào ?,Cực mạnh
2931,Giá bao nhiêu ?,35 triệu
2932,Tơ muốn mua quần áo Tết ?,Mua áo dài đi
2933,Áo dài cách tân hay truyền thống ?,Cách Tân
2934,Giá bao nhiêu ?,500.000 đ
2935,đi shopping không?,có tiền mới đi
2936,mua gì khi shopping ?,"quần áo, đồ điện tử"
2937,mua áo gì ?,áo thun
2938,mua quần gì?,jeans dài
2939,shopping ở đâu?,Vincom Đồng Khởi
2940,mua đồ điện tử gì?,iphone
2941,có thể tư vấn về điện thoại đang dùng được không?,được
2942,mua nó được bao lâu rồi?,3 năm rồi
2943,hiệu năng của nó tốt không?,tầm trung của thị trường smnartphone hiện giờ
2944,camera nó oke không ?,camera nó chân thực
2945,giá tiên của nó?,6 tr
2946,đôi giày này bao nhiêu?,3 tr
2947,áo này bao nhiêu vậy?,300k
2948,Nếu mua điện thoại thì mình nên dùng IOS hay Android,IOS vẫn tốt
2949,Bạn hay mua đồ ở đâu ?,Gặp đâu sale vào đó mua
2950,Có hay mua đồ secondhand không ?,Có
2951,mua iphone 12 chưa?,tao đổi qua iphone 13 rồi
2952,samsung hay iphone?,hãng nào cũng tốt
2953,nên mua áo này không?,áo này dược đó
2954,áo tao rách rồi,mua cái mới đi
2955,điện thoại nào chụp hình xịn?,iphone
2956,mua iphone không,không
2957,Mua samsung s10 không tao bán nè,cho tao xem
2958,mua iphone 10 không tao bán,cho tao xem đã
2959,mua áo sơ mi không tao bán,Size bao nhiêu
2960,samsung hay iphone tốt hơn,samsung
2961,mua áo hàng hiệu không tao bán nè,cho tao xem đi
2962,"có 4 triệu cần điện thoại có thể chụp hình tốt, lướt web, tải được nhiều ứng dụng thì mua gì?",Chọn Xiaomi redmi note 8 đi
2963,tớ sinh viên muốn điện thoại android sang chảnh mới ra?,chọn Samsung Galaxy A12 đi
2964,là con gái cần đi dự tiệc hơi mập phải mặc đồ gì?,mặc đầm hơi xiết eo để dấu bụng á
2965,Tớ muốn mua laptop mới ?,Macbook đi
2966,Tốc độ máy như thế nào ?,Cực mạnh
2967,Giá bao nhiêu ?,50 triệu
2968,Tớ muốn mua quần áo Tết ?,Mua áo dài đi
2969,Áo dài cách tân hay truyền thống ?,Cách Tân
2970,Giá bao nhiêu ?,500.000 đ
2971,đi xem phim không ?,hết tiền rồi
2972,đi làm không ?,làm biếng lắm
2973,đi trà sữa không ?,đi mà mày bao
2974,đi mua đồ tết không ?,đi
2975,đi nhậu không ?,quất
2976,đi du lịch không ?,đi đâu
2977,crush dạo này sao rồi ?,ai biết nó
2978,tỏ tình chưa ?,rồi
2979,uncrush chưa ?,rồi
2980,nào chia tay ?,mốt
2981,crush có thích mày không ?,không
2982,đi chơi net không?,oke
2983,chủ nhật đá banh không?,không
2984,mày làm gì vào lúc rảnh?,"đọc sách, nghe nhạc"
2985,mày hay đi cà phê ở đâu?,ở Cộng cà phê
2986,mày có bạn gái chưa?,rồi
2987,bạn gái mày học trường nào?,trường Hùng Vương
2988,có hay dẫn bạn gái đi chơi không?,ngày nào rảnh thì dẫn đi
2989,mày hay dẫn bạn gái đi đâu chơi?,đi coi phim
2990,crush mày biết mày thích nó không?,không
2991,Lúc rảnh hay làm gì?,Đi chơi
2992,Chơi gì?,"Ăn uống, chơi game"
2993,Ở đâu,Ngoài đường
2994,Có hay nấu ăn không?,Thỉnh thoảng
2995,Nấu món gì?,Mì tôm
2996,Mày có crush không?,Có
2997,Ai vậy?,Bạn chung lớp
2998,Đẹp trai không?,Tất nhiên là đẹp
2999,Đi chơi chung chưa?,Rồi
3000,Nó có thích mày không?,Không biết
3001,Lúc rãnh bạn thường làm gì?,Đi cafe
3002,Bạn có hay nghe nhạc lúc rãnh rỗi?,Thỉnh thoảng
3003,Vậy bạn thường đi cafe ở đâu?,Gần nhà
3004,Bạn thường đi với ai?,Bạn bè
3005,Ngoài đi café mỗi lúc rãnh thì bạn còn thú vui nào không?,Còn
3006,Đó là gì?,Xem phim
3007,Bạn thích mẫu người như thế nào?,"Ấm áp, thông minh."
3008,Khi hẹn hò bạn thích đi những nơi như thế nào?,Nơi náo nhiệt.
3009,Bạn có hay đi xem phim chiếu rạp với bạn trai không?,Thỉnh thoảng
3010,Còn bạn đã có người yêu chưa?,Chưa
3011,Bạn có đang thích ai không?,Có
3012,Cậu ấy là người như thế nào?,Là người thông minh
3013,Bạn có định tỏ tình với cậu ấy trong thời gian tới không?,Có
3014,rảnh đi đâu?,đi ăn
3015,nghe nhạc không?,nghe chứ
3016,có vẽ lúc rảnh không?,không bao giờ
3017,nấu ăn hay đọc sách,đọc sách
3018,đi ăn đâu giờ?,KFC đi
3019,mày thích con gái như nào?,thích con gái dễ thương
3020,thích bạn trai đeo mắt kiếng không?,có thích
3021,bạn đó tên gì?,tên Long
3022,làm sao để bạn đó thích mình?,bày tỏ đi
3023,nên lần đầu hẹn hò không?,thử cho biết
3024,Đang làm gì á?,Ngồi không thôi
3025,Rảnh rỗi vậy không có gì làm à?,Chút nữa đi ăn vặt uống cà phê.
3026,Lúc rãnh cậu uống cà phê à ?,Ừ. Cho thư giãn ấy mà.
3027,Ra quán cà phê nghe nhạc ư ?,Yên tĩnh lắm.
3028,Rảnh rỗi có làm gì khác không?,Lâu lâu có đi xem phim hoặc phượt.
3029,Đi một mình à?,Không. Đi với bạn bè này kia.
3030,Hay xem phim ở rạp hay ở nhà?,Xem ở rạp cho đã
3031,Bữa nào đi xem phim chung không ?,Có phim hay thì đi coi.
3032,Dạo này sao rồi?,Đang buồn
3033,Thất tình à?,Ừ
3034,Thích con nào?,Nhân viên ở quán cà phê tao hay đến.
3035,Làm quen chưa?,Quen lâu rồi. Quán quen mà.
3036,Thích nó chỗ nào?,Từ vóc dáng đến tính cách.
3037,Nó dễ thương lắm à ?,ừ
3038,Rồi sao buồn?,Tỏ tình nó mà nó bảo chưa quyết định được
3039,Tính tiếp tục không?,Đến khi nào nó đưa ra câu trả lời thì thôi.
3040,cuối tuần có đi đâu chơi không?,ở nhà ngủ
3041,mày không đi chơi à?,bài tập còn nhiều lắm
3042,đi công viên nước không mày?,không mày
3043,mày thường làm gì vào cuối tuần?,ở nhà xem phim
3044,mày định làm gì vào chủ nhật?,đi mua sắm
3045,hè có đi đâu chơi không?,đi du lịch
3046,có đi phượt với tụi nó không?,có chứ
3047,lúc rảnh thì mày làm gì?,nghe nhạc
3048,rảnh thì làm gì?,chơi với mèo
3049,nên làm gì khi bị crush từ chối?,quên nó đi
3050,mày nghĩ nó thích tao không?,chắc là có
3051,làm sao để crush thích mình?,gây ấn tượng tốt
3052,có nên thay đổi vì crush không?,hãy là chính mình
3053,mày nghĩ tao có cơ hội không?,có nha
3054,làm sao để tạo ấn tượng tốt với crush?,nói về những điều nó thích
3055,sao nó không thích tao?,mày không phải gu nó
3056,làm gì khi crush có người yêu?,crush người khác
3057,rảnh làm gì?,chơi game hoặc xem phim
3058,thích coi phim nào?,hành động
3059,phim thích nhất là phim gì?,avenger end game
3060,thích ra ngoài đường chơi không?,có
3061,có đi chơi với bạn không?,có
3062,làm gì để crush ấn tượng?,tạo cảm giác an tâm cho người ta
3063,nói chuyện gì với crush đây?,nói cái gì 2 bay thích?
3064,hay đi đâu chơi với người yêu?,ăn với xem phim
3065,thích người như thế nào?,tự lập
3066,thích bắt cá 2 tay không?,không
3067,lúc rãnh bạn thường làm gì?,mình thường đi chơi
3068,bạn thường đi chơi ở đâu?,mình thường đi chơi net
3069,bạn có làm cái khác ngoài việc trên không?,có mình thường đi chơi với bạn bè
3070,nếu bạn không đi ra ngoài thì lúc rãnh bạn làm gì?,mình đọc truyện xem phim
3071,ngoài làm việc giải trí lúc rãnh bạn còn làm gì nữa không?,mình xem bài học cho ngày mai
3072,bạn có hay đi ra ngoài ăn uống không?,có mình hay đi ăn với bạn bè
3073,bạn có crush chưa?,mình chưa có crush
3074,bạn thích người như thế nào?,mình thích người hiền lành
3075,mẫu người lý tưởng của bạn là gì?,"là người hoạt bát,vui vẻ, hiền lành"
3076,khi nào bạn có dự định về người yêu?,khi mình học xong
3077,bạn thích con trai hay con gái?,mình thích con gái
3078,rãnh làm gì ?,chơi game
3079,rãnh có đi cafe không ?,không
3080,thích đá bóng không ?,có
3081,thích chơi game hơn hay đá bóng hơn ?,chơi game
3082,rãnh hay đi đâu ?,chạy bộ
3083,bồ mày hay dỗi không ?,có
3084,rãnh hay đi đâu với bồ ?,đi shopping
3085,có hay tặng bồ mày cái gì không ?,có
3086,đi đà lạt với bồ chưa ?,chưa
3087,sợ chia tay với bồ không ?,có
3088,rãnh thì làm gì?,chơi game
3089,rãnh có đi chơi không?,lâu lâu đi
3090,có thích đọc sách khi rãnh không?,không thích
3091,rãnh không ngủ hả?,có chứ
3092,rãnh vậy đi chơi với tôi đi?,không đi
3093,mẫu người yêu là gì?,đẹp
3094,có bồ chưa?,chưa có
3095,ai dám yêu mày?,mày <3
3096,có thích trai giàu không?,không
3097,yêu trai Hà Nội chứ?,yêu luôn
3098,Êu Chủ Nhật nghỉ mày làm gì thế ?,Tao chơi game
3099,Chơi ở đâu ?,Chơi ở nhà chứ ở đâu
3100,Ủa có chơi game này không ?,Không m
3101,"Buồn thế, Chủ Nhật ra net đi",Tao lười lắm
3102,"Đi, t bao",Oke luôn
3103,Êu Hương cái Quỳnh thích ăn gì thế ?,Quỳnh thích ăn bánh tráng trộn
3104,Rồi đồ uống thì sao ?,Chắc là trà tắc
3105,Oke cảm ơn mày nhá,Sao mày hỏi về cái Quỳnh vậy ?
3106,À thì t thấy Quỳnh mệt,Á à thì ra mày crush Quỳnh phải không ?
3107,Ờ thì cũng có chút mà mày thân với Quỳnh nên t mới hỏi,Oke he he
3108,Lúc rảnh mày làm gì?,Đọc sách
3109,Lúc rảnh mày có đi đâu không?,Đôi khi
3110,Mày thích đi đâu nhất khi rảnh?,Tiệm cà phê
3111,Có thích ăn uống khi rảnh?,Đang muốn thử đây
3112,Mày thích nhất là ở đâu khi rảnh?,Ở nhà chứ ở đâu
3113,Thích làm gì nhất khi rảnh?,Đọc sách
3114,Mày có tập thể dục không?,Có
3115,Tập thể dục khi rảnh?,Thường xuyên luôn
3116,Có đi du lịch khi rảnh?,Nếu có tiền chứ
3117,Thích ở với gia đình khi rảnh?,Điều hiển nhiên
3118,Mày có thích ai chưa?,Đã từng
3119,Mẫu bạn đời mày như nào?,"Đẹp, siêng năng, có chí"
3120,Crush mày như nào thế?,Đẹp trai lắm mày ạ
3121,Mày có tính ở độc thân bao giờ?,Nhiều lần lắm mày ơi
3122,Mày có thích người đồng giới?,Tao nghĩ là không thể
3123,Mày có quan điểm gì về LGBT?,Không có quan điểm
3124,Mày có bao giờ thích bạn thân?,Có lẽ
3125,Mày từng bị đá?,Tất nhiên rồi
3126,Mày từng buồn vì ai đó?,Nhiều lắm mày ạ
3127,Quan điểm về trà xanh?,Ghét
3128,rảnh mày làm gì?,"chơi game, nghe nhạc"
3129,Mày hay đi xem phim không?,thỉnh thoảng
3130,mày xem phim ở đâu?,CGV
3131,mày chơi game gì?,GTAV
3132,Mày nghe thể loại nào?,Rap
3133,Crush mày biết mày thích nó không?,Trừ nó ai cũng biết
3134,Tặng gì cho crush?,chân thành
3135,Mày có người yêu?,Không
3136,crush từ chối thì làm gì?,fix bug
3137,Gu mày là gì?,Dễ thương
3138,cậu có rảnh không?,mình rảnh
3139,đi xem phim nhé?,ok
3140,đi ăn tối với mình đi?,yes
3141,tối nay đi xem bóng đá nhé?,đang bận học bài
3142,đi dạo đi mày?,đang bận
3143,tao thất tình,đi nhậu nhé
3144,muốn yêu con nhỏ đó?,cưa đổ đi
3145,nhỏ đó bao nhiêu tuổi?,nó 21
3146,nhỏ đó đẹp quá?,đừng mơ
3147,muốn tán nhỏ Lan?,nó có người yêu rồi
3148,rãnh thường làm gì ?,"ngủ, đi Café"
3149,chỗ cafe ưa thích?,những quán lề đường.
3150,liệt kê vài tiệm Café ưng ý?,the banned.
3151,có chơi game không?,có nhưng ít khi chơi.
3152,"đang crush 1 bạn, sao đây?",tới thôi.
3153,lúc rảnh thì mày làm gì ?,làm nhiều việc lắm
3154,nói tao nghe được không ?,"xem tivi, chơi game và nghe nhạc"
3155,có đi ra ngoài chơi không ?,bạn rủ tao mới đi
3156,hỏi cái này có chi không vậy ?,để làm khảo sát cho môn tao đang học
3157,không có gì nữa thì thôi nha ?,ok
3158,tâm sự chuyện tình cảm với tao đi ?,cũng được
3159,"tao đang crush 1 bạn, chỉ tao cách bắt chuyện?",dễ mà
3160,học khoa nào ?,khoa lao động công đoàn
3161,gặp ở đâu ?,lúc học thái độ sống 3
3162,kiếm được info chưa?,chưa luôn
3163,Khi rảnh bạn thường làm gì?,chơi game và nghe nhạc
3164,thường chơi game và nghe nhạc ở đâu?,ở nhà
3165,ngoài game và nghe nhạc còn làm gì không?,Nấu ăn
3166,một mình à?,Đúng
3167,Khi rảnh bạn có hay đi ra ngoài chơi không?,Có
3168,khi rảnh bạn có học bài không?,Học bài là bận rồi
3169,Khi rảnh bạn hay nghĩ về ai?,gia đình
3170,Khi yêu thì thích đi chơi ở đâu?,đi ăn cùng người yêu
3171,Vậy khi ăn thì thường ăn những món gì?,"Măn lẩu, món lề đường"
3172,có thường đi chơi xa không?,Có
3173,Người yêu bạn thích nhất hoa gì?,hoa hồng
3174,Người yêu bạn có khó tính không?,không có
3175,mày rãnh hay làm gì,"đi cafe, chơi game"
3176,mày thích đi bơi hông,có chứ
3177,mày có chơi cờ hông,"có, cờ nhân phẩm"
3178,ngày nghĩ mày hay đi đâu chơi không,tao hay đi Đà Lạt
3179,mày có thích sưu tầm gì hông,tao đang sưu tầm lego
3180,chớ có thích làm việc nhà không,tao cũng hay nấu ăn nếu rãnh mày ơi
3181,mày với bồ mày có điểm chung gì,hay đi phượt chung
3182,hai đứa bay có hay đi ăn đêm hông,có chứ
3183,"làm gì mày buồn như thất tình vậy, mới bị đá sao",mới tỏ tình bị từ chối
3184,ê mày con trai như nào mới cua được gái,bên ngoài đẹp trai bên trong nhiều tiền
3185,mày với Bình Nhi đang quen à,friend zone
3186,mày có thích tâm sự với bò mày hông,có hay nói với mấy thằng cùng phòng
3187,Mày thường gì lúc rảnh?,đọc sách.
3188,gì nữa không?,xem phim.
3189,thể loại gì?,khoa học viễn tưởng.
3190,coi ở đâu?,rạp hoặc nhà.
3191,có đi nhà sách không?,thỉnh thoảng.
3192,mua sắm thì sao?,không thường xuyên lắm.
3193,còn đi ăn?,có.
3194,hay đi với ai?,bạn bè.
3195,thích con trai hay con gái?,con trai.
3196,cao hay thấp?,cao.
3197,gì nữa?,học giỏi.
3198,gì nữa không?,ưa nhìn.
3199,về tính cách?,"hiền, ít nói, biết quan tâm."
3200,Khi rảnh bạn thường làm gì?,"đọc truyện, xem videos và chơi game"
3201,Bạn thường ở đâu khi rảnh?,quán cà phê?
3202,Bạn có thường chơi thế thao lúc rảnh không?,đi bơi
3203,Bạn thường chơi thể thao ở đâu?,Ở hồ bơi.
3204,Bạn có đọc sách lúc rảnh chứ?,chưa đọc bao giờ.
3205,Bạn có muốn thử không?,có
3206,Mình có thể tặng bạn 1 quyển sách để bạn thực hành?,Thanks.
3207,Tình trạng hôn nhân của bạn như thế nào?,đã có người yêu
3208,Người yêu bạn xinh không?,Chả ai yêu người xấu cả
3209,Bạn và người yêu bạn đã quen bao lâu rồi?,2 năm
3210,Bạn và người yêu bạn thường làm gì khi gặp nhau?,ăn uống và nói chuyện.
3211,Bạn sẻ cưới cô ấy chứ?,Không biết
3212,bạn có crush không?,có
3213,lâu chưa?,lâu rồi
3214,sao không tỏ tình đi?,không dám
3215,sao nhát vậy?,không biết
3216,quan điểm trong tình yêu?,"tôn trọng, tinh tế, biết để ý, rõ ràng, dứt khoác."
3217,crush của bạn thế nào?,"cao, đẹp, dễ thương, hơi ngố"
3218,crush có thích bạn không?,không biết
3219,crush thích ăn gì?,cái gì ngon là ăn
3220,crush không thích ăn gì?,"đồ ngọt, rau"
3221,crush có thói quen gì?,ngủ nhiều
3222,nhà crush ở đâu?,gần nhà tớ
3223,sáng mấy giờ cậu dậy?,8
3224,tối mấy giờ cậu ngủ?,12
3225,khi yêu thích gì?,đi ăn chung
3226,chủ nhật đi ăn lẩu không?,"đi, ăn lẩu teokbokki đi"
3227,rảnh là chơi game hả?,đúng rồi
3228,có hay đánh guitar lúc rảnh không?,lười nên chưa đánh được
3229,hay nấu ăn không?,không thích nấu
3230,hay xem phim nào?,mr.queen
3231,hay chơi thể thao không?,không
3232,thích làm gì để thư giãn?,nghe nhạc hoặc ngủ
3233,ngoài ngủ thì còn thích gì không?,"nghe nhạc, xem phim hoặc chơi game"
3234,thích vẽ không?,thích nhưng vẽ xấu nên không vẽ
3235,thích cùng người yêu đi đâu?,"xem phim, đi ăn hoặc đi du lịch cùng nhau"
3236,thích làm gì cùng người yêu?,gì cũng được miễn là cùng người yêu
3237,muốn đi du lịch với người yêu ở đâu?,đâu cũng muốn
3238,có đang crush ai không?,không
3239,mẫu người yêu như nào?,quan tâm và yêu thương tao
3240,Mày làm gì khi rảnh?,Tao xem phim hoặc chơi game gì đó.
3241,Rảnh mà mất điện thì mày làm gì?,Ngủ hoặc đi ăn gì đó ngon.
3242,Mày hay đi chơi với bạn mày khi rảnh không?,"Có chứ, mà ai thân rủ tao mới đi."
3243,Mày ăn gì khi rảnh?,Ăn gì thì tùy tâm trạng vui buồn.
3244,Có bao giờ rảnh mày chơi thể thao không?,"Ai rủ thì tao đi, chứ đi mình buồn lắm."
3245,Mày muốn đi đâu vơi crush?,Đi ăn gì đó ngon.
3246,Nhà crush của mày ở đâu?,Trong tim tao nè.
3247,Crush tao đẹp trai không?,Mày đoán xem.
3248,Tặng quà gì cho crush giờ?,Tặng gì ăn ké được
3249,Làm sao để quên crush?,Học NLP
3250,điểm rèn luyện,cần để xét tốt nghiệp
3251,làm sao có điểm rèn luyện,tham gia hoạt động
3252,tính điểm rèn luyện thế nào,trên hệ thống thông tin sinh viên
3253,có đi làm thêm,thỉnh thoảng
3254,làm thêm ở đâu,quán cà phê
3255,có đi đâu chơi,cảng nhà rồng
3256,có thích chơi game,thình thoảng
3257,game gì,mobile
3258,có người yêu,độc thân
3259,có crush,rồi
3260,cuộc thi nét đẹp sinh viên,có
3261,tổ chức khi nào,cuối tháng
3262,có tham gia,không
3263,"Ê mày, đang làm gì vậy",Chơi game
3264,Game gì,Liên minh
3265,Chơi cờ hả,"Không, đánh hạng"
3266,Vào trận chưa,Chưa
3267,"Chờ tao, tao mở máy cái",Ok
3268,"Ê mày, mày rảnh không",Rảnh
3269,Cho tao hỏi cái,Hỏi đi
3270,"Tao đang thích một bạn, không biết làm quen sao",Chung lớp hả
3271,Ừa,Inbox hỏi bài đi
3272,Hỏi sao,"Thì hỏi bài tập trên lớp, rồi bắt chuyện"
3273,Ngại lắm,"Ngại gì, mạnh dạn lên"
3274,"đi chơi, ngủ, xem youtube",thích làm gì khi rảnh rỗi?
3275,chơi bóng rổ,thích chơi game không?
3276,có,thích chơi bóng rổ hay thích chơi game?
3277,bóng rổ,có hay đi coffee với bạn bè không?
3278,thỉnh thoảng,có hay đi shopping không?
3279,có,có người yêu chưa?
3280,chưa,mẫu người lý tưởng?
3281,xinh là được,thích gái cao hay gái thấp?
3282,không quan trọng,thích gái Bắc hay gái Nam?
3283,Bắc Nam đều thích,có người yêu cũ không?
3284,không,tỏ tình với ai chưa?
3285,rồi,thích đi đâu chơi với người yêu?
3286,ê chơi liên minh không?,ok bro
3287,đang làm gì đấy?,nghe nhạc thôi
3288,"chán quá, đi ăn không?",thôi tao hết tiền rồi
3289,đi ăn không tao bao?,ok luôn nè
3290,mày thường uống nước ở đâu đấy,the coffee house
3291,"ê tao thích nhỏ lớp kế bên, giúp tao làm quen đi?",mày xấu như chó thì ai thèm quen
3292,tao buồn quá tâm sự với tao đi?,tự nói chuyện một mình đi
3293,valentine muốn mua quà gì?,son đi
3294,nhỏ đó có bạn trai chưa?,chưa mày
3295,thằng đó có bạn gái chưa?,hình như rồi
3296,Lúc rảnh làm gì?,Xem phim
3297,Có hay đi đá banh không?,Có
3298,Đá với ai?,Bạn
3299,Thường đá thứ mấy?,tối thứ 4 hàng tuần
3300,Đá sân nào?,Khu Trung sơn
3301,Chuyện tình cảm ra sao?,Đang Crush bạn kia
3302,Ai vậy?,Bạn nữ phòng bên
3303,Tình hình như nào?,đang tìm hiểu
3304,Crush như thế nào?,"Tóc ngắn, cute"
3305,Học khoa nào?,Luật
3306,rảnh làm gì?,chơi game
3307,rảnh làm gì?,nghe nhạc
3308,có đi xem phim không?,có
3309,có đi ăn không?,có
3310,rảnh ở đâu?,nhà
3311,rảnh có đi tập thể dục không?,thỉnh thoảng
3312,rảnh có đi chơi với người yêu không?,có
3313,yêu ai chưa?,chưa
3314,thích ai?,đứa bạn thân
3315,mẫu người lý tưởng?,"đẹp gái, hiền lành"
3316,có crush ai không?,có
3317,muốn có người yêu không?,muốn
